timestamp,open,high,low,close,volume,Dividends,Stock Splits,5日均线,10日均线,20日均线,50日均线,RSI指标,MACD,MACD信号线,MACD柱状图,布林带上轨,布林带中轨,布林带下轨,成交量10日均线,成交量20日均线,随机指标K,随机指标D,平均真实波幅,amount
2025-07-21,172.7402639749064,173.37023335124513,170.99036260323587,171.37034606933594,123126100,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,21100162367.167664
2025-07-22,171.33033873133073,171.38033896465845,164.5707252526767,167.0205841064453,193114300,0.0,0.0,,,,,,-0.09759081326998853,-0.054217118483326956,-0.043373694786661574,,,,,,,,,32254063185.307312
2025-07-23,169.52044095634585,171.25033914956657,167.96053134785282,170.77037048339844,154082200,0.0,0.0,,,,,,-0.008069415423534565,-0.03530412542603499,0.027234710002500426,,,,,,,,,26312674378.897095
2025-07-24,172.43027959809626,173.82020061413024,171.29034448608226,173.73020935058594,128984600,0.0,0.0,,,,,,0.13970828710424144,0.02398192217907219,0.11572636492516925,,,,,,,,,22408521561.001587
2025-07-25,173.60021352539138,174.71015156060187,172.9502562716434,173.49021911621094,122316800,0.0,0.0,171.2763458251953,,,,,0.2075175053909959,0.0785796087604393,0.1289378966305566,,,,,,,,,21220768433.59375
2025-07-28,174.0101941822023,176.9900219174052,173.96019394928393,176.7400360107422,140023500,0.0,0.0,172.35028381347655,,,,,0.38334347563156257,0.1611875612257234,0.22215591440583918,,,,,,,,,24747758432.35016
2025-07-29,177.94996552058157,179.36988356772682,175.01012896550742,175.50009155273438,154077500,0.0,0.0,174.0461853027344,,,,,0.43332785188042067,0.23005900874810956,0.2032688431323111,,,,,,,,,27040615356.21643
2025-07-30,176.50004870661488,179.87986313645385,176.03007396904806,179.25990295410156,174312200,0.0,0.0,175.744091796875,,,,,0.6386924851162519,0.3282613174736005,0.3104311676426514,,,,,,,,,31247188055.715942
2025-07-31,182.88968537366165,183.28967198380855,175.92007699286586,177.85997009277344,221685400,0.0,0.0,176.5700439453125,,,,,0.7017298883113767,0.41453441012426084,0.2871954781871159,,,,,,,,,39428958614.00452
2025-08-01,174.08017933113513,176.53003812303805,170.88036283204175,173.710205078125,204529000,0.0,0.0,176.61404113769532,173.9451934814453,,,,0.5224858836533599,0.4387218067692174,0.0837640768841425,,,,161625160.0,,,,,35528774534.42383
2025-08-04,175.150129411279,180.18983857913796,174.5101661001552,179.98985290527344,148174600,0.0,0.0,177.26400451660157,174.80714416503906,,,,0.7201857128825679,0.5003045011600513,0.21988121172251662,,,,164130010.0,,,,,26669924458.29773
2025-08-05,179.6098628583566,180.24982614601393,175.8900714807458,178.24993896484375,156407600,0.0,0.0,177.81397399902343,175.9300796508789,,,,0.7597561931585233,0.5560238436174952,0.20373234954102803,,,,160459340.0,,,,,27879645153.637695
2025-08-06,176.32005948301483,179.88985025482887,176.2400621628547,179.40988159179688,137192300,0.0,0.0,177.8439697265625,176.79403076171874,,,,0.8445472916062613,0.6170854293938242,0.22746186221243714,,,,158770350.0,,,,,24613654298.306274
2025-08-07,181.5597693442696,183.86963665167795,178.78992126086553,180.7598114013672,151878400,0.0,0.0,178.42393798828124,177.4969909667969,,,63.17705687813126,0.9752824147998638,0.692020505997179,0.28326190880268476,,,,161059730.0,,83.88600690466042,,4.599027700762692,27453510939.941406
2025-08-08,181.5397681998595,183.2896695438941,180.3898238761652,182.689697265625,123396700,0.0,0.0,180.21983642578124,178.41693878173828,,,65.0691740753937,1.1759552016693249,0.7923370186390539,0.38361818303027095,,,,161167720.0,,93.88597956818427,,4.636168766456952,22543305766.57715
2025-08-11,182.0397344504628,183.82962677132744,180.23983292857787,182.0497283935547,138323200,0.0,0.0,180.6318115234375,178.94790802001953,,,72.20081919546458,1.2746300952316005,0.891589338396792,0.38304075683480854,,,,160997690.0,,88.56058701374181,88.77752449552884,4.406181632940368,25181700990.527344
2025-08-12,182.94968779347354,184.46959107996432,179.4498851930147,183.14967346191406,145485700,0.0,0.0,181.61175842285155,179.7128662109375,,,69.8396861216836,1.4021350083130812,0.996050733889119,0.4060842744239622,,,,160138510.0,,90.28703033042339,90.91119897078316,4.462606693213822,26645658448.37799
2025-08-13,182.60969839497247,183.95962838065756,179.33989375414814,181.5797576904297,179871700,0.0,0.0,182.0457336425781,179.94485168457032,,,63.16666700793028,1.3835872713868866,1.0749799028931333,0.30860736849375336,,,,160694460.0,,78.73438184411678,85.860666396094,4.57474272862651,32661059701.36566
