timestamp,open,high,low,close,volume,Dividends,Stock Splits,5-day moving average,10-day moving average,20-day moving average,50-day moving average,RSI,MACD,MACD Signal,MACD Histogram,Bollinger Upper,Bollinger Middle,Bollinger Lower,Volume 10-day moving average,Volume 20-day moving average,Stochastic %K,Stochastic %D,Average True Range,amount
2025-07-23,69.12983872856844,69.20922411428865,68.07790097598784,68.6336441040039,21030000,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,1443365535.5072021
2025-07-24,68.73287494922423,69.02066871254083,68.46492563760984,68.57408905029297,12511400,0.0,0.0,,,,,,-0.0013361710768435842,-0.0007423172649131022,-0.0005938538119304819,,,,,,,,,857957857.7438354
2025-07-25,68.60386583850186,68.70311082014807,68.2267606507652,68.64356231689453,12574800,0.0,0.0,,,,,,0.00045181467598354175,-0.00025291892848005145,0.0007047336044635933,,,,,,,,,863179067.4224854
2025-07-28,68.21683184135681,68.37561774841703,67.5420068790084,67.57177734375,13668800,0.0,0.0,,,,,,-0.037442435416920716,-0.012850993619686236,-0.02459144179723448,,,,,,,,,923625110.15625
2025-07-29,67.81987356307579,68.89165570464739,67.63132476561074,68.85195922851562,16223400,0.0,0.0,68.4550064086914,,,,,-0.006303963156966574,-0.010903400074136598,0.004599436917170024,,,,,,,,,1117012875.3479004
2025-07-30,68.58402159958062,68.8023484457589,68.00843401807953,68.22676086425781,10448200,0.0,0.0,68.37362976074219,,,,,-0.014200873022161886,-0.01179719857900077,-0.002403674443161117,,,,,,,,,712846842.8619385
2025-07-31,67.63132194344468,68.12751651739316,67.22443875856932,67.37329864501953,17193400,0.0,0.0,68.1334716796875,,,,,-0.05768390988085059,-0.023409901063434182,-0.03427400881741641,,,,,,,,,1158376072.9232788
2025-08-01,68.0778989242416,68.51455260352374,67.75040866477998,68.33592224121094,16107500,0.0,0.0,68.07194366455079,,,,,-0.040130946417278324,-0.027428282701290503,-0.01270266371598782,,,,,,,,,1100720867.5003052
2025-08-04,68.1969864897566,68.5542472046044,67.79010328677435,68.4351577758789,10701500,0.0,0.0,68.24461975097657,,,,,-0.02244180371336313,-0.026276381317029456,0.0038345776036663275,,,,,,,,,732358840.9385681
2025-08-05,68.37561520814988,68.96112118319219,68.2267553186435,68.52447509765625,11993400,0.0,0.0,68.17912292480469,68.31706466674805,,,,-0.004966421048081315,-0.021501713175289136,0.01653529212720782,,,,14245240.0,,,,,821841439.6362305
2025-08-06,68.59394112526157,69.26876605357357,68.10766498791271,68.98097229003906,10783000,0.0,0.0,68.32996520996093,68.35179748535157,,,,0.03205136656885088,-0.009784605326145607,0.041835971894996486,,,,13220540.0,,,,,743821824.2034912
2025-08-07,68.93135553235344,70.18176809165108,68.8023476571491,69.89397430419922,15790800,0.0,0.0,68.83410034179687,68.4837860107422,,,,0.1089069789351953,0.01570536924034581,0.09320160969484949,,,,13548480.0,,,,,1103681769.442749
2025-08-08,69.82450137602136,70.3306219637713,69.54663362473224,69.80464935302734,9232700,0.0,0.0,69.12784576416016,68.59989471435547,,,,0.15941468393731384,0.04611925312879856,0.11329543080851529,,,,13214270.0,,,,,644485386.0816956
2025-08-11,69.76496050234014,70.32069600533772,69.42754425314278,70.21153259277344,10909400,0.0,0.0,69.48312072753906,68.8638702392578,,,61.30853242843348,0.21873130464608437,0.08222982309478453,0.13650148155129982,,,,12938330.0,,96.16605450707388,,0.9491516307001829,765965693.6676025
