timestamp,open,high,low,close,volume,Dividends,Stock Splits,5日均线,10日均线,20日均线,RSI指标,MACD,MACD信号线,MACD柱状图,布林带上轨,布林带中轨,布林带下轨,成交量10日均线,成交量20日均线,随机指标K,随机指标D,平均真实波幅,amount
2025-08-13,95.69000244140625,118.0,68.0,68.0,58207600,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,,,,3958116800.0
2025-08-14,74.4000015258789,85.0,71.19999694824219,74.62999725341797,32385300,0.0,0.0,,,,,0.1487499383779749,0.0826388546544305,0.0661110837235444,,,,,,,,,2416914850.051117
2025-08-15,75.3499984741211,75.48999786376953,68.2300033569336,69.54000091552734,9126300,0.0,0.0,,,,,0.03169646452916197,0.061760825914566345,-0.030064361385404373,,,,,,,,,634642910.3553772
2025-08-18,68.125,68.30000305175781,62.5,63.369998931884766,9024400,0.0,0.0,,,,,-0.24508412151368475,-0.042183939474407586,-0.20290018203927718,,,,,,,,,571876218.3609009
2025-08-19,61.560001373291016,62.4900016784668,57.91600036621094,59.5099983215332,6500600,0.0,0.0,67.00999908447265,,,,-0.5439212220884428,-0.1914394376342229,-0.35248178445421996,,,,,,,,,386850695.08895874
2025-08-20,60.310001373291016,62.95000076293945,56.380001068115234,62.88999938964844,5403500,0.0,0.0,65.98799896240234,,,,-0.5688081112197523,-0.29372732946827435,-0.27508078175147793,,,,,,,,,339826111.70196533
2025-08-21,61.09000015258789,70.38999938964844,61.05099868774414,69.80000305175781,8041700,0.0,0.0,65.02200012207031,,,,-0.26193598380307037,-0.2856817879963382,0.023745804193267828,,,,,,,,,561310684.5413208
2025-08-22,68.05000305175781,71.73999786376953,66.49700164794922,70.81999969482422,7342000,0.0,0.0,65.27799987792969,,,,-0.0034463739938956905,-0.2178553105734146,0.2144089365795189,,,,,,,,,519960437.7593994
2025-08-25,68.57499694824219,68.61499786376953,65.0,65.18000030517578,3917900,0.0,0.0,65.64000015258789,,,,-0.1042156412450197,-0.19160398318924868,0.08738834194422898,,,,,,,,,255368723.1956482
2025-08-26,63.959999084472656,66.26000213623047,63.380001068115234,66.08000183105469,2012300,0.0,0.0,66.9540008544922,66.98199996948242,,,-0.12782394828788313,-0.17731355294539786,0.04948960465751473,,,,14196160.0,,,,,132972787.68463135
2025-08-27,65.80000305175781,66.25,62.2400016784668,63.97999954223633,2270700,0.0,0.0,67.17200088500977,66.57999992370605,,,-0.25496988179016,-0.19430431397333292,-0.06066556781682708,,,,8602470.0,,,,,145279384.96055603
2025-08-28,63.52000045776367,65.25,61.09000015258789,64.43000030517578,2630300,0.0,0.0,66.09800033569336,65.56000022888183,,,-0.31999912043012557,-0.2212982869636089,-0.09870083346651667,,,,5626970.0,,,,,169470229.80270386
2025-08-29,63.400001525878906,63.70000076293945,58.810001373291016,59.029998779296875,3643000,0.0,0.0,63.74000015258789,64.50900001525879,,,-0.6690178489228202,-0.3160513014131564,-0.35296654750966383,,,,5078640.0,,,,,215046285.55297852
2025-09-02,57.83000183105469,62.150001525878906,57.75,62.029998779296875,2860800,0.0,0.0,63.10999984741211,64.375,,44.09495463868669,-0.7477053584919418,-0.40635365221792763,-0.3413517062740141,,,,4462280.0,,9.16909738578086,,9.628284999302455,177455420.5078125
2025-09-03,60.47999954223633,61.25,53.0099983215332,54.2599983215332,6549700,0.0,0.0,60.74599914550781,63.85,,38.22016387891372,-1.2585919238155512,-0.5830170989829276,-0.6755748248326235,,,,4467190.0,,3.9074708796949005,,6.7011421748570035,355386711.006546
2025-09-04,53.29999923706055,53.5,48.290000915527344,49.0099983215332,5592500,0.0,0.0,57.75199890136719,62.46199989318848,,27.502637761706865,-1.9488411302419024,-0.8640935026524005,-1.0847476275895018,,,,4486090.0,,2.6470495837772128,5.2412059497509915,5.913284846714565,274088415.61317444
2025-09-05,50.189998626708984,52.5,47.880001068115234,52.349998474121094,4403900,0.0,0.0,55.33599853515625,60.7169994354248,,34.426527174615515,-2.2443729998980615,-1.1465088299146422,-1.0978641699834193,,,,4122310.0,,18.73427496360769,8.429598475693268,5.724713734218052,230544158.28018188
2025-09-08,52.099998474121094,52.400001525878906,49.33000183105469,50.119998931884766,2885000,0.0,0.0,53.55399856567383,58.64699935913086,,37.073172656075435,-2.5837513894590103,-1.439230547496414,-1.1445208419625963,,,,3676610.0,,9.388089541476845,10.256471362953915,5.441142218453543,144596196.91848755
2025-09-09,50.2599983215332,54.5,50.2599983215332,53.810001373291016,3024100,0.0,0.0,51.90999908447266,57.509999465942386,,44.42052085693559,-2.5764309179025773,-1.6699963066559207,-0.9064346112466566,,,,3587230.0,,24.853315597493427,17.658560034192657,5.364428111485073,162726825.15296936
2025-09-10,54.099998474121094,55.040000915527344,51.72999954223633,52.619998931884766,2160900,0.0,0.0,51.58199920654297,56.16399917602539,61.57299957275391,39.496831476793126,-2.6172677727927933,-1.8616603356906323,-0.755607437102161,76.50861260717184,61.57299957275391,46.637386538335974,3602090.0,8899125.0,19.865878039987177,18.035761059652483,5.131571088518415,113706555.69190979
