日期,开盘价,最高价,最低价,收盘价,成交量,Dividends,Stock Splits,5日均线,10日均线,20日均线,50日均线,RSI指标,MACD,MACD信号线,MACD柱状图,布林带上轨,布林带中轨,布林带下轨,成交量10日均线
2025-08-25,226.47999572753906,229.3000030517578,226.22999572753906,227.16000366210938,30983100,0.0,0.0,,,,,,0.0,0.0,0.0,,,,
2025-08-26,226.8699951171875,229.49000549316406,224.69000244140625,229.30999755859375,54575100,0.0,0.0,,,,,,0.048237042549317266,0.026798356971842924,0.02143868557747434,,,,
2025-08-27,228.61000061035156,230.89999389648438,228.25999450683594,230.49000549316406,31259500,0.0,0.0,,,,,,0.09805554206900524,0.05600212135592583,0.04205342071307941,,,,
2025-08-28,230.82000732421875,233.41000366210938,229.33999633789062,232.55999755859375,38074700,0.0,0.0,,,,,,0.19304715499160352,0.10242659074470552,0.090620564246898,,,,
2025-08-29,232.50999450683594,233.3800048828125,231.3699951171875,232.13999938964844,39418400,0.0,0.0,230.33200073242188,,,,,0.2238873543223292,0.13855842188988152,0.08532893243244768,,,,
2025-09-02,229.25,230.85000610351562,226.97000122070312,229.72000122070312,44075600,0.0,0.0,230.84400024414063,,,,,0.13473761994342226,0.1375227721299123,-0.002785152186490031,,,,
2025-09-03,237.2100067138672,238.85000610351562,234.36000061035156,238.47000122070312,66427800,0.0,0.0,232.6760009765625,,,,,0.4716339630812172,0.22207740128418801,0.24955656179702917,,,,
2025-09-04,238.4499969482422,239.89999389648438,236.74000549316406,239.77999877929688,47549400,0.0,0.0,234.53399963378905,,,,,0.7522532893493974,0.34948863714604267,0.4027646522033547,,,,
2025-09-05,240.0,241.32000732421875,238.49000549316406,239.69000244140625,54870400,0.0,0.0,235.96000061035156,,,,,0.9306659954619931,0.4837434901527696,0.44692250530922356,,,,
2025-09-08,239.3000030517578,240.14999389648438,236.33999633789062,237.8800048828125,48999500,0.0,0.0,237.10800170898438,233.72000122070312,,,,0.950455261570454,0.5883140195314809,0.36214124203897313,,,,45623350.0
2025-09-09,237.0,238.77999877929688,233.36000061035156,234.35000610351562,66313900,0.0,0.0,238.03400268554688,234.43900146484376,,,,0.7633632425559824,0.6266137893091714,0.13674945324681098,,,,49156430.0
2025-09-10,232.19000244140625,232.4199981689453,225.9499969482422,226.7899932861328,83440800,0.0,0.0,235.6980010986328,234.18700103759767,,,,0.20053257521229284,0.5351094136773205,-0.3345768384650276,,,,52043000.0
2025-09-11,226.8800048828125,230.4499969482422,226.64999389648438,230.02999877929688,50208600,0.0,0.0,233.7480010986328,234.14100036621093,,,,-0.036516058298843745,0.4141336038001069,-0.45064966209895063,,,,53937910.0
2025-09-12,229.22000122070312,234.50999450683594,229.02000427246094,234.07000732421875,55824200,0.0,0.0,232.6240020751953,234.29200134277343,,,58.957742221856506,0.020667574974822855,0.3318202169986574,-0.3111526420238345,,,,55712860.0
2025-09-15,237.0,238.19000244140625,235.02999877929688,236.6999969482422,42699500,0.0,0.0,232.38800048828125,234.7480010986328,,,61.57766261259376,0.21959675840963655,0.3085570244585478,-0.08896026604891127,,,,56040970.0
2025-09-16,237.17999267578125,241.22000122070312,236.32000732421875,238.14999389648438,63421100,0.0,0.0,233.147998046875,235.59100036621095,,,60.91357572579089,0.45572473821795256,0.3388430428423528,0.11688169537559978,,,,57975520.0
2025-09-17,238.97000122070312,240.10000610351562,237.72999572753906,238.99000549316406,46508000,0.0,0.0,235.58800048828124,235.64300079345702,,,60.58266835769698,0.6821334732351829,0.40908278735703335,0.27305068587814957,,,,55983540.0
2025-09-18,239.97000122070312,241.1999969482422,236.64999389648438,237.8800048828125,44249600,0.0,0.0,237.1580017089844,235.4530014038086,,,56.78572151473017,0.7771665577125475,0.4840500312345024,0.2931165264780451,,,,55653560.0
2025-09-19,241.22999572753906,246.3000030517578,240.2100067138672,245.5,163741300,0.0,0.0,239.44400024414062,236.03400115966798,,,64.39654954123341,1.329561169509816,0.655624913532715,0.6739362559771009,,,,66540650.0
2025-09-22,248.3000030517578,256.6400146484375,248.1199951171875,256.0799865722656,105413200,0.0,0.0,243.31999816894532,237.85399932861327,235.7870002746582,,74.15687915239884,2.4289232063613326,1.014421211778649,1.4145019945826836,249.50614663713057,235.7870002746582,222.06785391218583,72182020.0
