Datetime,开盘价,最高价,最低价,收盘价,成交量,Dividends,Stock Splits,5个5分钟均线,10个5分钟均线,20个5分钟均线,50个5分钟均线,RSI指标,MACD,MACD信号线,MACD柱状图,布林带上轨,布林带中轨,布林带下轨,成交量10个5分钟均线,成交量20个5分钟均线,随机指标K,随机指标D,平均真实波幅
2025-09-22 09:30:00-04:00,248.33999633789062,250.97999572753906,248.1699981689453,249.97000122070312,9674900,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,
2025-09-22 09:35:00-04:00,249.98500061035156,251.27999877929688,249.77000427246094,250.35000610351562,3395642,0.0,0.0,,,,,,0.008525750575927304,0.004736528097737391,0.003789222478189913,,,,,,,,
2025-09-22 09:40:00-04:00,250.34500122070312,250.67999267578125,249.73019409179688,250.6602020263672,1886210,0.0,0.0,,,,,,0.020482655489530543,0.011189858996013272,0.009292796493517271,,,,,,,,
2025-09-22 09:45:00-04:00,250.64999389648438,250.7100067138672,250.02000427246094,250.15530395507812,1733514,0.0,0.0,,,,,,0.007189759801519813,0.009834811843407086,-0.0026450520418872733,,,,,,,,
2025-09-22 09:50:00-04:00,250.16000366210938,250.95309448242188,250.05999755859375,250.9228057861328,1257136,0.0,0.0,250.4116638183594,,,,,0.030355900779170497,0.0159393718552358,0.014416528923934697,,,,,,,,
2025-09-22 09:55:00-04:00,250.92999267578125,251.34429931640625,250.83999633789062,251.09500122070312,1531729,0.0,0.0,250.63666381835938,,,,,0.0510744807975243,0.02546293985286365,0.02561154094466065,,,,,,,,
2025-09-22 10:00:00-04:00,251.11000061035156,252.22999572753906,250.7899932861328,251.72999572753906,2216398,0.0,0.0,250.91266174316405,,,,,0.092248089056028,0.042364479450528784,0.04988360960549921,,,,,,,,
2025-09-22 10:05:00-04:00,251.7449951171875,251.7899932861328,251.02999877929688,251.32000732421875,1121242,0.0,0.0,251.04462280273438,,,,,0.09887406072923,0.055944794494712166,0.04292926623451783,,,,,,,,
2025-09-22 10:10:00-04:00,251.32000732421875,251.6699981689453,251.10000610351562,251.56509399414062,1168002,0.0,0.0,251.3265808105469,,,,,0.1141176523233014,0.06938301325015216,0.04473463907314924,,,,,,,,
2025-09-22 10:15:00-04:00,251.56500244140625,252.39990234375,251.47000122070312,251.77999877929688,1457450,0.0,0.0,251.49801940917968,250.95484161376953,,,,0.1343403694225742,0.08393723180212563,0.05040313762044858,,,,2544222.3,,,,
2025-09-22 10:20:00-04:00,251.7899932861328,252.66000366210938,251.78500366210938,252.58999633789062,1206653,0.0,0.0,251.7970184326172,251.2168411254883,,,,0.1902226952157946,0.1071918838886927,0.0830308113271019,,,,1697397.6,,,,
2025-09-22 10:25:00-04:00,252.5850067138672,252.73500061035156,252.1284942626953,252.67160034179688,1176246,0.0,0.0,251.98533935546874,251.4490005493164,,,,0.23308746062488694,0.13422897391500377,0.09885848670988318,,,,1475458.0,,,,
2025-09-22 10:30:00-04:00,252.66000366210938,252.92990112304688,252.5399932861328,252.6501007080078,1095171,0.0,0.0,252.25135803222656,251.64799041748046,,,,0.26057065588389605,0.16096726331382438,0.09960339257007167,,,,1396354.1,,,,
2025-09-22 10:35:00-04:00,252.66000366210938,252.69500732421875,252.0800018310547,252.27999877929688,977631,0.0,0.0,252.39433898925782,251.86045989990234,,,73.46140494433286,0.25630823405828096,0.18091266552896432,0.07539556852931664,,,,1320765.8,,86.346311048422,,0.9677505493164062
2025-09-22 10:40:00-04:00,252.27000427246094,252.61000061035156,252.14010620117188,252.4550018310547,798621,0.0,0.0,252.5293395996094,252.01367950439453,,,74.37242031601222,0.2602084405547487,0.19735016358182242,0.06285827697292626,,,,1274914.3,,85.1580383030673,,0.8006003243582589
2025-09-22 10:45:00-04:00,252.44500732421875,253.12440490722656,252.35000610351562,252.97999572753906,1048317,0.0,0.0,252.60733947753906,252.20217895507812,,,75.08112560134808,0.2917380626519446,0.21677448956625572,0.07496357308568885,,,,1226573.1,,95.74542691835661,89.08325875661531,0.7480577741350446
2025-09-22 10:50:00-04:00,252.99000549316406,253.28500366210938,252.94940185546875,253.13009643554688,1156023,0.0,0.0,252.69903869628905,252.3421890258789,,,74.29625560248687,0.32145226411034855,0.23819233139752624,0.08325993271282231,,,,1120535.6,,95.25552050473186,92.05299524205192,0.7041865757533482
2025-09-22 10:55:00-04:00,253.14500427246094,253.68980407714844,253.125,253.60000610351562,1107317,0.0,0.0,252.88901977539064,252.5701889038086,,,84.12027156926165,0.3698900608686415,0.26501507284530645,0.10487498802333506,,,,1119143.1,,97.52609476086984,96.1756807279861,0.6952438354492188
2025-09-22 11:00:00-04:00,253.6199951171875,253.7449951171875,253.38499450683594,253.72999572753906,1173643,0.0,0.0,253.17901916503905,252.78667907714845,,,81.82488115749486,0.4109545959684908,0.2946297702384049,0.1163248257300859,,,,1119707.2,,99.4924067562055,97.42467400726906,0.65716552734375
2025-09-22 11:05:00-04:00,253.71499633789062,254.4949951171875,253.63999938964844,254.4250030517578,2011464,0.0,0.0,253.5730194091797,253.05117950439453,252.00301055908204,,83.75105551792292,0.4829494809489745,0.33273301285864004,0.15021646809033445,254.51494484266314,252.00301055908204,249.49107627550094,1175108.6,1859665.45,98.11087636062616,98.37645929256716,0.6822150094168526
