timestamp,open,high,low,close,volume,Dividends,Stock Splits,5日均线,10日均线,20日均线,50日均线,RSI指标,MACD,MACD信号线,MACD柱状图,布林带上轨,布林带中轨,布林带下轨,成交量10日均线,成交量20日均线,随机指标K,随机指标D,平均真实波幅,amount
2025-07-15,391.5299987792969,400.8800048828125,373.0199890136719,388.0199890136719,16889300,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,6553386000.448608
2025-07-16,392.79998779296875,405.8800048828125,391.4599914550781,398.20001220703125,14355800,0.0,0.0,,,,,,0.2283979562612899,0.12688775347849438,0.10151020278279552,,,,,,,,,5716479735.241699
2025-07-17,399.70001220703125,415.9599914550781,394.2799987792969,410.75,16840500,0.0,0.0,,,,,,0.6801987007742127,0.3536545351570674,0.32654416561714533,,,,,,,,,6917235375.0
2025-07-18,419.82000732421875,444.6499938964844,406.5,419.7799987792969,28063200,0.0,0.0,,,,,,1.1950412596752358,0.6386771383136285,0.5563641213616073,,,,,,,,,11780370061.743164
2025-07-21,425.54998779296875,436.3800048828125,413.44000244140625,413.6300048828125,17018100,0.0,0.0,406.0760009765625,,,,,1.2049179678325004,0.807120983363269,0.3977969844692314,,,,,,,,,7039196786.096191
2025-07-22,419.1000061035156,420.9800109863281,394.3699951171875,404.44000244140625,14554900,0.0,0.0,409.36000366210936,,,,,0.7952368715286298,0.8038997283122458,-0.008662856783616002,,,,,,,,,5886583791.534424
2025-07-23,399.989990234375,400.7200012207031,387.1199951171875,397.80999755859375,12433200,0.0,0.0,409.28200073242186,,,,,0.21845632149950234,0.6557396202568351,-0.43728329875733274,,,,,,,,,4946051261.645508
2025-07-24,404.25,405.30999755859375,392.0,396.70001220703125,7904600,0.0,0.0,406.4720031738281,,,,,-0.22459592222065794,0.4441784346859479,-0.6687743569066058,,,,,,,,,3135754916.491699
2025-07-25,391.8999938964844,397.4800109863281,386.3900146484375,391.6600036621094,8643300,0.0,0.0,400.84800415039064,,,,,-0.7780371169214959,0.16184057882200997,-0.9398776957435059,,,,,,,,,3385234909.65271
2025-07-28,394.6199951171875,395.3900146484375,375.260009765625,379.489990234375,11270400,0.0,0.0,394.02000122070314,400.0480010986328,,,,-1.786183303455232,-0.2746298534392676,-1.5115534500159642,,,,14797330.0,,,,,4277003985.9375
2025-07-29,383.5899963378906,384.7799987792969,365.739990234375,371.44000244140625,9334700,0.0,0.0,387.4200012207031,398.39000244140624,,,,-2.9185036825340376,-0.8530943403191521,-2.0654093422148856,,,,14041870.0,,,,,3467280990.789795
2025-07-30,382.95001220703125,386.5799865722656,372.7099914550781,377.4800109863281,11100000,0.0,0.0,383.35400390625,396.31800231933596,,,,-3.3771751108924377,-1.395161033978063,-1.9820140769143748,,,,13716290.0,,,,,4190028121.948242
2025-07-31,382.8900146484375,387.1400146484375,376.8299865722656,377.760009765625,12371200,0.0,0.0,379.5660034179688,393.0190032958984,,,,-3.656722033231972,-1.8737859149261085,-1.7829361183058636,,,,13269360.0,,,,,4673344632.8125
2025-08-01,335.1400146484375,337.5799865722656,310.54998779296875,314.69000244140625,31342200,0.0,0.0,364.1720031738281,382.5100036621094,,,25.473283700341057,-7.473769573184654,-3.045306674469787,-4.4284628987148675,,,,13597260.0,,3.087259105150006,,23.475006103515625,9863076994.519043
2025-08-04,319.5400085449219,324.0,311.0,318.1700134277344,12106400,0.0,0.0,351.9080078125,372.96400451660156,,,27.16873861102256,-10.050529193698083,-4.497443708028136,-5.553085485669946,,,,13106090.0,,5.682345479450246,,22.41357639857701,3851893450.5615234
2025-08-05,307.1099853515625,312.8500061035156,297.20001220703125,297.989990234375,16863900,0.0,0.0,337.21800537109374,362.3190032958984,,,19.255076867878785,-13.103346009692018,-6.268474246312662,-6.834871763379356,,,,13336990.0,,0.5357600036923273,3.1017881960975267,22.635718209402903,5025273396.313477
2025-08-06,297.54998779296875,304.7699890136719,293.30999755859375,303.5799865722656,15982700,0.0,0.0,322.43800048828126,352.8960021972656,,,15.652847331751872,-14.922998521767227,-8.039253505461874,-6.883745016305353,,,,13691940.0,,6.786037572475217,4.334714351872597,21.905718122209823,4852027851.38855
2025-08-07,311.2300109863281,317.94000244140625,306.9800109863281,310.7900085449219,13857200,0.0,0.0,309.04400024414065,344.3050018310547,,,14.657258782780787,-15.6787693094534,-9.595185851597256,-6.083583457856145,,,,14287200.0,,12.21780253824669,6.513200038138078,20.206433977399552,4306679306.408691
2025-08-08,311.44000244140625,313.70001220703125,301.2300109863281,310.5400085449219,9253800,0.0,0.0,308.21400146484376,336.19300231933596,,,15.240424854537878,-16.084919343824083,-10.912111448044003,-5.17280789578008,,,,14348250.0,,13.495738367789007,10.833192826170304,19.45857674734933,2873675131.072998
2025-08-11,322.1000061035156,333.6600036621094,318.79998779296875,319.6199951171875,14664400,0.0,0.0,308.5039978027344,330.2060028076172,365.127001953125,,21.37941133100088,-15.611984482302262,-11.863049625640683,-3.748934856661579,450.9163966729635,365.127001953125,279.33760723328646,14687650.0,14742490.0,23.49106924874442,16.40153671826004,19.20928955078125,4687035456.396484
2025-08-12,329.3500061035156,329.8599853515625,314.1600036621094,322.6199951171875,9947800,0.0,0.0,313.42999877929685,325.3240020751953,361.8570022583008,,23.991706315225883,-14.860987975943772,-12.46821899796758,-2.392768977976191,448.9480556194635,361.8570022583008,274.76594889713806,14748960.0,14395415.0,26.169640677315847,21.05214943128309,19.093573434012278,3209359187.426758
2025-08-13,328.2099914550781,345.3900146484375,321.5299987792969,327.010009765625,15399800,0.0,0.0,318.1160034179687,320.277001953125,358.2975021362305,,26.429017922023007,-13.808018481248496,-12.738170787251429,-1.0698476939970671,444.9524654589161,358.2975021362305,271.6425388135449,15178940.0,14447615.0,32.35097231739332,27.33722741448453,19.84714617047991,5035888748.388672
2025-08-14,320.489990234375,327.45001220703125,316.79998779296875,324.8900146484375,9403600,0.0,0.0,320.9360046386719,314.99000244140626,354.00450286865237,,26.96157642563948,-12.97172280471301,-12.785158557583395,-0.18656424712961517,438.1901892492714,354.00450286865237,269.81881648803335,14882180.0,14075770.0,30.936531938517614,29.819048311075594,19.815719604492188,3055135741.748047
2025-08-15,322.8500061035156,323.3999938964844,314.55999755859375,317.54998779296875,7881200,0.0,0.0,322.33800048828124,315.2760009765625,348.89300231933595,,27.89121648471159,-12.673686500969723,-12.762758364338874,0.08907186336915096,428.55585578889554,348.89300231933595,269.23014884977636,12536080.0,13066670.0,25.83393991196316,29.707148055958033,19.11572047642299,2502674963.7939453
2025-08-18,311.4800109863281,324.2900085449219,307.1099853515625,320.7300109863281,8798800,0.0,0.0,322.56000366210935,315.53200073242186,344.24800262451174,,31.247707685137215,-12.071872823842739,-12.62405725827612,0.5521844344333804,418.6792675542662,344.24800262451174,269.8167376947573,12205320.0,12655705.0,29.223071974376037,28.664514608285604,18.982864379882812,2822039220.666504
2025-08-19,320.69000244140625,322.5899963378906,301.45001220703125,302.07000732421875,10327700,0.0,0.0,318.45000610351565,315.94000244140625,339.12950286865237,,24.494369125969186,-12.772158978912671,-12.653767395784275,-0.11839158312839615,410.13282131747076,339.12950286865237,268.126184419834,11551700.0,12444345.0,9.336041958979022,21.46435128177274,19.41143580845424,3119688414.642334
2025-08-20,304.2699890136719,306.45001220703125,291.4599914550781,304.3900146484375,8570300,0.0,0.0,313.92600708007814,316.02100524902346,334.45850372314453,,25.522139938879363,-13.004088719064669,-12.724001476026395,-0.2800872430382739,401.3819560996195,334.45850372314453,267.53505134666955,10810460.0,12251200.0,23.97555652257072,20.84489015197526,19.745720999581472,2608713742.541504
2025-08-21,301.4200134277344,305.0,297.79998779296875,300.2799987792969,5743400,0.0,0.0,309.00400390625,314.9700042724609,329.6375030517578,,42.07458820125125,-13.32724840431166,-12.84488468381313,-0.4823637204985314,391.37272569067056,329.6375030517578,267.902280412845,9999080.0,12143140.0,16.354540202209282,16.555379561253005,15.459291730608259,1724628144.9890137
2025-08-22,300.5899963378906,322.260009765625,297.19000244140625,319.8500061035156,13029200,0.0,0.0,309.46400756835936,315.9010040283203,326.0470031738281,,50.78504241082888,-12.013666679436255,-12.678383434734222,0.6647167552979667,380.51969042918404,326.0470031738281,271.57431591847217,10376620.0,12362435.0,52.642318633256735,30.990805119345577,16.321435110909597,4167389699.523926
2025-08-25,312.17999267578125,315.5899963378906,305.1000061035156,306.0,8473900,0.0,0.0,306.51800537109375,314.53900451660155,322.37250366210935,,53.97834578953655,-11.854694566911633,-12.513441472911005,0.6587469059993722,371.298313032193,322.37250366210935,273.4466942920257,9757570.0,12222610.0,26.96087945816468,31.985912764543567,15.877149309430804,2593013400.0
2025-08-26,304.0,309.20001220703125,300.3699951171875,308.4800109863281,7745400,0.0,0.0,307.8000061035156,313.1250061035156,319.2245040893555,,52.51128454572469,-11.41180187473708,-12.29289513476221,0.8810932600251302,362.6499981708365,319.2245040893555,275.7990100078745,9537330.0,12143145.0,31.55945153264044,37.05421654135395,15.689293997628349,2389301077.093506
