timestamp,open,high,low,close,volume,Dividends,Stock Splits,5-day moving average,10-day moving average,20-day moving average,50-day moving average,RSI,MACD,MACD Signal,MACD Histogram,Bollinger Upper,Bollinger Middle,Bollinger Lower,Volume 10-day moving average,Volume 20-day moving average,Stochastic %K,Stochastic %D,Average True Range,amount
2025-07-25,391.8999938964844,397.4800109863281,386.3900146484375,391.6600036621094,8643300,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,3385234909.65271
2025-07-28,394.6199951171875,395.3900146484375,375.260009765625,379.489990234375,11270400,0.0,0.0,,,,,,-0.27304517305810805,-0.15169176281006003,-0.12135341024804802,,,,,,,,,4277003985.9375
2025-07-29,383.5899963378906,384.7799987792969,365.739990234375,371.44000244140625,9334700,0.0,0.0,,,,,,-0.5975433861235615,-0.3344178379385442,-0.2631255481850173,,,,,,,,,3467280990.789795
2025-07-30,382.95001220703125,386.5799865722656,372.7099914550781,377.4800109863281,11100000,0.0,0.0,,,,,,-0.5124150554656808,-0.39471499834746576,-0.11770005711821502,,,,,,,,,4190028121.948242
2025-07-31,382.8900146484375,387.1400146484375,376.8299865722656,377.760009765625,12371200,0.0,0.0,379.5660034179688,,,,,-0.4442281713425018,-0.40944404790572253,-0.03478412343677928,,,,,,,,,4673344632.8125
2025-08-01,335.1400146484375,337.5799865722656,310.54998779296875,314.69000244140625,31342200,0.0,0.0,364.1720031738281,,,,,-3.0917990357974645,-1.1365113856767082,-1.9552876501207563,,,,,,,,,9863076994.519043
2025-08-04,319.5400085449219,324.0,311.0,318.1700134277344,12106400,0.0,0.0,351.9080078125,,,,,-4.578806499400571,-2.0076644468829623,-2.5711420525176085,,,,,,,,,3851893450.5615234
2025-08-05,307.1099853515625,312.8500061035156,297.20001220703125,297.989990234375,16863900,0.0,0.0,337.21800537109374,,,,,-6.4620275698695195,-3.0781316696537258,-3.383895900215794,,,,,,,,,5025273396.313477
2025-08-06,297.54998779296875,304.7699890136719,293.30999755859375,303.5799865722656,15982700,0.0,0.0,322.43800048828126,,,,,-7.390460177149521,-4.0743009484572985,-3.3161592286922223,,,,,,,,,4852027851.38855
2025-08-07,311.2300109863281,317.94000244140625,306.9800109863281,310.7900085449219,13857200,0.0,0.0,309.04400024414065,344.3050018310547,,,,-7.570159049827851,-4.857576097448587,-2.7125829523792637,,,,14287200.0,,,,,4306679306.408691
2025-08-08,311.44000244140625,313.70001220703125,301.2300109863281,310.5400085449219,9253800,0.0,0.0,308.21400146484376,336.19300231933596,,,,-7.607165936782621,-5.459170643314297,-2.147995293468324,,,,14348250.0,,,,,2873675131.072998
2025-08-11,322.1000061035156,333.6600036621094,318.79998779296875,319.6199951171875,14664400,0.0,0.0,308.5039978027344,330.2060028076172,,,,-7.032031156303219,-5.796955118281362,-1.235076038021857,,,,14687650.0,,,,,4687035456.396484
2025-08-12,329.3500061035156,329.8599853515625,314.1600036621094,322.6199951171875,9947800,0.0,0.0,313.42999877929685,325.3240020751953,,,,-6.342748337364526,-5.912463925955403,-0.4302844114091231,,,,14748960.0,,,,,3209359187.426758
2025-08-13,328.2099914550781,345.3900146484375,321.5299987792969,327.010009765625,15399800,0.0,0.0,318.1160034179687,320.277001953125,,,27.36187324279298,-5.490003462537288,-5.824084881803929,0.33408141926664037,,,,15178940.0,,32.35097231739332,,19.84714617047991,5035888748.388672
