timestamp,open,high,low,close,volume,Dividends,Stock Splits,5-day moving average,10-day moving average,20-day moving average,50-day moving average,RSI,MACD,MACD Signal,MACD Histogram,Bollinger Upper,Bollinger Middle,Bollinger Lower,Volume 10-day moving average,Volume 20-day moving average,Stochastic %K,Stochastic %D,Average True Range,amount
2025-08-20,175.1601234390134,175.99007848098316,168.79048741289236,175.39010620117188,215142700,0.0,0.0,179.093896484375,180.56981506347657,,,45.8956451975258,-0.0206390119585933,0.4479685677911837,-0.468607579749777,,,,155749180.0,,42.09181167759943,52.956278021442834,4.779729354045358,37733901001.40686
2025-08-21,174.8401410010552,176.89001313294924,173.80019113380274,174.97012329101562,140040900,0.0,0.0,177.68597412109375,179.9908462524414,178.74391860961913,,52.38996106363543,-0.3002665447211825,0.2965761090758281,-0.5968426537970106,185.03688027955525,178.74391860961913,172.450956939683,154565430.0,157812580.0,39.41319611975816,38.819067715133,4.501887549646416,24502973538.78479
2025-08-22,172.60026380920357,178.57992220965232,171.19033968434712,177.97996520996094,172789400,0.0,0.0,177.19400329589843,179.519873046875,178.96840591430663,,45.64747307592668,-0.31358659552890344,0.17340753860619282,-0.4869941341350963,184.77368240134567,178.96840591430663,173.1631294272676,159504700.0,160336210.0,58.60971387265975,46.70490722333912,4.566883908524433,30753051400.650024
2025-08-25,178.3399565343825,181.89975349617023,176.56005805348863,179.79986572265625,163012800,0.0,0.0,176.7540313720703,179.29488677978514,179.12139739990235,,53.344867510633,-0.19809046318468404,0.09855562863736818,-0.2966460918220522,184.8400360265354,179.12139739990235,173.4027587732693,161973660.0,161485675.0,70.21688575785703,56.07993191675831,4.636879678339682,29309679551.07422
2025-08-26,180.04984011627135,182.379710508586,178.79991063056144,181.75975036621094,168688200,0.0,0.0,177.97996215820314,179.15589447021483,179.43438034057618,,54.90195828778892,0.02698122453716678,0.08415574591290885,-0.05717452137574207,185.00169691402297,179.43438034057618,173.8670637671294,164293910.0,162216210.0,82.71686461615546,70.51448808222408,4.631880520200424,30660725121.725464
2025-08-27,181.96973565618129,182.47971666734583,179.0899084065932,181.5897674560547,235518900,0.0,0.0,179.2198944091797,179.15689544677736,179.55087356567384,,51.82097942928003,0.1897851619893629,0.10538186664932667,0.08440329534003624,185.19972353744384,179.55087356567384,173.90202359390383,169858630.0,165276545.0,81.63272796035136,78.18882611145462,4.511172868053295,42767822282.5058
2025-08-28,180.80980830742462,184.45959632874283,176.40005338826177,180.1598358154297,281787800,0.0,0.0,180.2578369140625,178.97190551757814,179.66586685180664,,44.324807611604434,0.21476756798205088,0.12734196984008622,0.08742559814196466,185.26318509815485,179.66586685180664,174.06854860545843,185082010.0,168281665.0,72.51274463102348,78.9541124025101,4.879722673249879,50766843782.79114
2025-08-29,178.099952232122,178.13994326196564,173.14022534545884,174.170166015625,243257900,0.0,0.0,179.49587707519532,178.34494018554688,179.68886489868163,,35.74530106580026,-0.18887555350499952,0.06390674396498534,-0.2527822974699849,185.1860336854185,179.68886489868163,174.19169611194476,193747580.0,170218110.0,34.31113612719218,62.81886957285568,5.124709575194255,42368268827.612305
2025-09-02,169.99041567915194,172.37028638119727,167.2105736316213,170.77037048339844,231164900,0.0,0.0,177.68997802734376,177.22200469970704,179.2278907775879,,29.325323974357275,-0.7421480190395471,-0.0976949375264173,-0.6444530815131297,186.01392307668524,179.2278907775879,172.44185847849056,203663270.0,174367625.0,20.637672720850418,42.48718449302203,5.2632728964124045,39476115615.75775
2025-09-03,171.0503597309562,172.40028977270214,168.8704898798795,170.61038208007812,164424900,0.0,0.0,175.4601043701172,176.72003326416015,178.8459129333496,,30.774637001728152,-1.176341107490856,-0.3138422612480853,-0.8624988462427707,186.64774184396163,178.8459129333496,171.0440840227376,201582840.0,174768490.0,19.710151167139376,24.886320005060664,5.185420415434777,28052595012.478638
2025-09-04,170.56039467979372,171.85031526705663,169.40045639085815,171.65032958984375,141670100,0.0,0.0,173.472216796875,176.34605560302734,178.45793533325195,,32.22377111161849,-1.4264664597096441,-0.536711975118327,-0.8897544845913171,186.8881237535321,178.45793533325195,170.0277469129718,194235580.0,174992380.0,25.73917395890118,22.028999282296997,5.106139141490009,24317719358.026123
2025-09-05,168.02052717453523,169.02047080600087,164.06075893837155,167.01058959960938,224441400,0.0,0.0,170.84236755371094,175.55010223388672,177.77047424316407,,29.15246191484161,-1.9421582035026006,-0.818149623728959,-1.1240085797736414,187.54546274186947,177.77047424316407,167.99548574445868,202675630.0,178620530.0,14.460778351173156,19.970034492404576,5.36398108043214,37484090544.56177
2025-09-08,167.5405549408978,170.95036631358883,167.34056927044318,168.30050659179688,163769100,0.0,0.0,169.6684356689453,174.5821563720703,177.05101470947267,,28.553553529641647,-2.228085695561873,-1.1004163815525572,-1.127669314009316,187.40265828578714,177.05101470947267,166.6993711331582,201773600.0,180639150.0,20.784261241410665,20.32807118382834,5.467546455105057,27562422494.08264
2025-09-09,169.08046220477644,170.97035502688004,166.7306038641957,170.7503662109375,157548400,0.0,0.0,169.66443481445313,173.67720642089844,176.4860466003418,,41.29192861841962,-2.2453838340644836,-1.3295914432452622,-0.9157923908192214,186.92202431100034,176.4860466003418,166.05006888968327,201227160.0,181600410.0,32.794061468050124,22.67970035354465,5.269700161829571,26901446995.947266
2025-09-10,176.63004377208136,179.2798883121013,175.46011154547278,177.32000732421875,226852000,0.0,0.0,171.00635986328126,173.2332321166992,176.19456329345704,,52.80932868243777,-1.7464751112859744,-1.4130210566531614,-0.3334540546328131,186.16201625816404,176.19456329345704,166.22711032875003,207043540.0,185668725.0,65.00002001146333,39.52611424030804,5.3646952356205,40225398301.51367
2025-09-11,179.67999267578125,180.27999877929688,176.47999572753906,177.1699981689453,151159300,0.01,0.0,172.11029357910155,172.79125518798827,175.9740753173828,,53.22769498460381,-1.3474237305274528,-1.3998949356939745,0.052471205166521706,185.6301823995801,175.9740753173828,166.31796823518553,198607580.0,184233105.0,64.26463910517577,54.01957352822975,5.415422453664165,26780892904.219055
2025-09-12,177.77000427246094,178.60000610351562,176.4499969482422,177.82000732421875,124911000,0.0,0.0,174.27217712402344,172.5572723388672,175.76458892822265,,49.747845877858595,-0.9711674325114075,-1.3141146384349625,0.342947205923555,185.0437960613948,175.76458892822265,166.4853817950505,182919900.0,184000955.0,67.45114009459127,65.57193307041013,5.041167212947611,22211674934.87549
